Commodity,country,Total_Value,rank
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,HONG KONG,151.43,1
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,VIETNAM SOC REP,96.84,2
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,ITALY,88.29,3
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,CHINA P RP,87.27,4
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,KOREA RP,38.1,5
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,INDONESIA,24.13,6
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,MALAYSIA,21.29,7
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,GERMANY,16.43,8
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,PORTUGAL,15.45,9
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,SPAIN,14.91,10
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,BANGLADESH PR,14.26,11
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,NETHERLAND,12.43,12
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,U S A,12.02,13
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,TURKEY,11.72,14
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,THAILAND,11.18,15
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,CAMBODIA,10.71,16
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,SOUTH AFRICA,9.84,17
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,RUSSIA,9.35,18
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,ROMANIA,8.72,19
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,FRANCE,7.06,20
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,POLAND,6.19,21
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,SRI LANKA DSR,3.85,22
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,TAIWAN,3.81,23
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,JAPAN,3.75,24
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,MYANMAR,3.45,25
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,PHILIPPINES,3.23,26
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,AUSTRIA,2.81,27
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,GUATEMALA,2.4,28
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,HUNGARY,2.12,29
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,TUNISIA,2.12,29
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,U K,2.06,30
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,CANADA,2.06,30
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,MEXICO,1.6,31
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,AUSTRALIA,1.58,32
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,SLOVAK REP,1.5,33
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,U ARAB EMTS,1.47,34
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,BRAZIL,1.27,35
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,ALBANIA,1.25,36
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,PAKISTAN IR,1.23,37
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,NORWAY,1.19,38
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,SINGAPORE,1.17,39
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,ISRAEL,1.15,40
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,ETHIOPIA,0.91,41
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,BELARUS,0.76,42
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,MOROCCO,0.75,43
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,UKRAINE,0.73,44
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,IRAN,0.68,45
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,LITHUANIA,0.66,46
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,GREECE,0.62,47
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,SYRIA,0.56,48
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,SERBIA,0.55,49
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,DOMINIC REP,0.53,50
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,FIJI IS,0.36,51
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,SAUDI ARAB,0.35,52
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,NEW ZEALAND,0.34,53
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,SWEDEN,0.33,54
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,NEPAL,0.26,55
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,MAURITIUS,0.26,55
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,SLOVENIA,0.24,56
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,LEBANON,0.22,57
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,OMAN,0.21,58
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,JORDAN,0.18,59
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,LAO PD RP,0.17,60
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,MOZAMBIQUE,0.16,61
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,KUWAIT,0.13,62
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,CZECH REPUBLIC,0.08,63
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,KOREA DP RP,0.07,64
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,LATVIA,0.07,64
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,KAZAKHSTAN,0.06,65
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,ALGERIA,0.06,65
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,GHANA,0.06,65
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,EGYPT A RP,0.06,65
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,COLOMBIA,0.05,66
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,CROATIA,0.05,66
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,PERU,0.05,66
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,ARGENTINA,0.05,66
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,BELGIUM,0.04,67
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,ZIMBABWE,0.04,67
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,SWITZERLAND,0.04,67
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,QATAR,0.04,67
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,BULGARIA,0.04,67
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,NETHERLANDANTIL,0.03,68
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,ESTONIA,0.03,68
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,UGANDA,0.03,68
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,CHILE,0.02,69
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,DENMARK,0.01,70
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,URUGUAY,0.01,70
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,TOGO,0.01,70
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,BAHARAIN IS,0.01,70
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,CYPRUS,0.01,70
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,FINLAND,0.01,70
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,JAMAICA,0.01,70
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,VIRGIN IS US,0.0,71
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,YEMEN REPUBLC,0.0,71
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,BHUTAN,0.0,71
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,HONDURAS,0.0,71
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,ANTIGUA,0.0,71
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,TANZANIA REP,0.0,71
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,SURINAME,0.0,71
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,DOMINICA,0.0,71
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,MALAWI,0.0,71
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,VATICAN CITY,0.0,71
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,KYRGHYZSTAN,0.0,71
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,KENYA,0.0,71
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,IRAQ,0.0,71
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,ANGOLA,,72
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,MALDIVES,,72
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,NICARAGUA,,72
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,ARMENIA,,72
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,AFGHANISTAN TIS,,72
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,NAMIBIA,,72
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,HAITI,,72
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,MADAGASCAR,,72
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,SEYCHELLES,,72
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,BELIZE,,72
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,BR VIRGN IS,,72
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,ST LUCIA,,72
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,COMOROS,,72
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,EL SALVADOR,,72
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,ICELAND,,72
